"","parcela","especie","indivíduos","taxa_cap","rede_hora","recap"
"1",20,14,26,1.809906291834,14.3653846153846,4
"2",22,9,15,1.02156640181612,14.6833333333333,1
"3",56,5,6,0.37037037037037,16.2,0
"4",64,12,24,1.33808270094471,17.9361111111111,3
"5",84,8,13,1.00745156482861,12.9038461538462,0
"6",87,12,22,1.61333333333333,13.6363636363636,2
"7",88,6,10,0.793650793650794,12.6,1
"8",90,9,11,0.809364548494983,13.5909090909091,0
"9",206,7,8,0.534446764091858,14.96875,0
"10",207,12,15,1.05509964830012,14.2166666666667,0
