"","especie","familia","guild","cons_fruto","numero"
"1","Antilophia galeata","Pipridae","FruiNect",1,6
"2","Arremon flavirostris","Emberizidae","Omnivore",1,11
"3","Automolus leucophthalmus","Furnariidae","Invertebrate",0,1
"4","Baryphthengus ruficapillus","Momotidae","Invertebrate",1,1
"5","Basileuterus culicivorus","Parulidae","Invertebrate",1,7
"6","Basileuterus flaveolus","Parulidae","Invertebrate",0,34
"7","Cnemotriccus fuscatus","Tyrannidae","Invertebrate",0,9
"8","Conirostrum speciosum","Thraupidae","Invertebrate",1,1
"9","Conopophaga lineata","Conopophagidae","Invertebrate",0,2
"10","Coryphospingus cucullatus","Emberizidae","Omnivore",1,4
"11","Eucometis penicillata","Thraupidae","Invertebrate",1,7
"12","Euphonia violacea","Thraupidae","FruiNect",1,1
"13","Galbula ruficauda","Galbulidae","Invertebrate",0,1
"14","Geothlypis aequinoctialis","Parulidae","Invertebrate",0,1
"15","Hylocryptus rectirostris","Furnariidae","Invertebrate",0,1
"16","Lathrotriccus euleri","Tyrannidae","Invertebrate",0,1
"17","Lepidocolaptes angustirostris","Dendrocolaptidae","Invertebrate",0,3
"18","Leptopogon amaurocephalus","Tyrannidae","Invertebrate",1,5
"19","Leptotila verreauxi","Columbidae","PlantSeed",1,2
"20","Malacoptila striata","Bucconidae","Invertebrate",0,1
"21","Manacus manacus","Pipridae","FruiNect",1,1
"22","Myiarchus ferox","Tyrannidae","Omnivore",1,5
"23","Myiodynastes maculatus","Tyrannidae","Omnivore",1,2
"24","Nemosia pileata","Thraupidae","Invertebrate",0,1
"25","Platyrinchus mystaceus","Tyrannidae","Invertebrate",0,7
"26","Ramphocelus carbo","Thraupidae","Omnivore",1,4
"27","Sittasomus griseicapillus","Dendrocolaptidae","Invertebrate",0,2
"28","Tachyphonus coronatus","Thraupidae","Invertebrate",1,1
"29","Tangara cayana","Thraupidae","FruiNect",1,1
"30","Taraba major","Thamnophilidae","Invertebrate",0,3
"31","Thamnophilus caerulescens","Thamnophilidae","Invertebrate",1,5
"32","Thamnophilus doliatus","Thamnophilidae","Invertebrate",0,1
"33","Thlypopsis sordida","Thraupidae","Omnivore",1,1
"34","Thraupis sayaca","Thraupidae","Omnivore",1,1
"35","Tiaris fuliginosus","Emberizidae","PlantSeed",0,1
"36","Tolmomyias sulphurescens","Tyrannidae","Invertebrate",1,2
"37","Trichothraupis melanops","Thraupidae","Invertebrate",1,1
"38","Troglodytes aedon","Troglodytidae","Invertebrate",0,2
"39","Turdus leucomelas","Turdidae","Invertebrate",1,8
"40","Turdus rufiventris","Turdidae","Omnivore",1,1
"41","Veniliornis passerinus","Picidae","Invertebrate",0,1
